method,MAE,RMSE,dir_acc
text_only,0.03544543747624678,0.04947765262113882,0.4684431977559607
financial_only,0.03792229515380278,0.05058675015360945,0.5007012622720898
sentiment_only,0.06166260660329894,0.07109182133522163,0.4684431977559607
full_multimodal,0.034239207484161316,0.04940596265032835,0.5399719495091164
same_ticker_baseline,0.029771160453477854,0.04669325478581894,0.47685834502103785
