method,selected_interval_mode,candidate_interval_mode,coverage_80,coverage_90,coverage_95,avg_width_80,avg_width_90,avg_width_95,avg_width,cal_error_80,cal_error_90,cal_error_95,calibration_error
full_multimodal,raw_quantile,raw_quantile,0.638148667601683,0.8892005610098177,0.9565217391304348,0.08100236897836184,0.17147064887556715,0.28709692507982254,0.17985664764458384,0.16185133239831706,0.01079943899018232,0.006521739130434856,0.059724170172978076
naive_conformal,naive,naive,0.8246844319775596,0.9298737727910238,0.9649368863955119,0.13001001571784473,0.2087268897202937,0.30646687000989914,0.21506792514934583,0.02468443197755954,0.029873772791023767,0.014936886395511939,0.02316503038803175
event_conditioned_conformal,adaptive,adaptive,0.8457223001402524,0.9312762973352033,0.9719495091164095,0.14022746836305514,0.22018980500493382,0.3318520145063899,0.2307564292914596,0.04572230014025236,0.03127629733520332,0.021949509116409582,0.03298270219728842
normalized_conformal_width,normalized_width,normalized_width,0.8260869565217391,0.9256661991584852,0.9607293127629734,0.14928543457121218,0.2129636413329582,0.29649637744062984,0.2195818177816001,0.02608695652173909,0.025666199158485226,0.010729312762973398,0.020827489481065904
normalized_conformal_modality,normalized_modality,normalized_modality,0.8064516129032258,0.9158485273492286,0.9607293127629734,0.12435635625995943,0.19722364379671453,0.2937273869092005,0.20510246232195817,0.006451612903225712,0.01584852734922859,0.010729312762973398,0.011009817671809233
normalized_conformal_combined,normalized_combined,normalized_combined,0.8120617110799438,0.9228611500701263,0.9607293127629734,0.13437327115647382,0.20595213291465708,0.294365362366763,0.21156358881263126,0.012061711079943804,0.022861150070126235,0.010729312762973398,0.015217391304347813
ours,normalized_modality,normalized_modality,0.8064516129032258,0.9158485273492286,0.9607293127629734,0.12435635625995943,0.19722364379671453,0.2937273869092005,0.20510246232195817,0.006451612903225712,0.01584852734922859,0.010729312762973398,0.011009817671809233
same_ticker_baseline,,,0.8821879382889201,0.8611500701262272,0.7938288920056101,0.11933403984570763,0.10758263395095131,0.08969633803630135,0.10553767061098678,0.08218793828892001,0.03884992987377278,0.15617110799438982,0.09240299205236087
