method,coverage_level,min_score,acceptance_rate,selected_coverage,selected_avg_width,selected_mae,selected_dir_acc
ours_selective,0.9,0.55,0.0,,,,
ours_selective,0.9,0.7,0.0,,,,
ours_selective,0.9,0.85,0.0,,,,
