method,MAE,RMSE,dir_acc
text_only,0.03544545022478581,0.04947765913699917,0.4684431977559607
financial_only,0.037922315979899736,0.050586767810054306,0.5007012622720898
sentiment_only,0.06166259452353573,0.07109180987069916,0.4684431977559607
full_multimodal,0.03423919972009205,0.04940595680166511,0.5399719495091164
same_ticker_baseline,0.029771160453477854,0.04669325478581894,0.47685834502103785
