method,selected_interval_mode,candidate_interval_mode,coverage_80,coverage_90,coverage_95,avg_width_80,avg_width_90,avg_width_95,avg_width,cal_error_80,cal_error_90,cal_error_95,calibration_error
full_multimodal,raw_quantile,raw_quantile,0.638148667601683,0.8892005610098177,0.9565217391304348,0.08100236897836184,0.17147064887556715,0.28709692507982254,0.17985664764458384,0.16185133239831706,0.01079943899018232,0.006521739130434856,0.059724170172978076
naive_conformal,naive,naive,0.8246844319775596,0.9298737727910238,0.9649368863955119,0.13001001571784473,0.2087268897202937,0.30646687000989914,0.21506792514934583,0.02468443197755954,0.029873772791023767,0.014936886395511939,0.02316503038803175
event_conditioned_conformal,adaptive,adaptive,0.82328190743338,0.9004207573632539,0.9565217391304348,0.12868616694449947,0.18273367959364653,0.28766344519914616,0.1996944305790974,0.02328190743337999,0.00042075736325386526,0.006521739130434856,0.010074801309022904
normalized_conformal_width,normalized_width,normalized_width,0.814866760168303,0.9046283309957924,0.9593267882187938,0.14450561997971267,0.18881100393238728,0.28845406526025996,0.20725689639078662,0.014866760168302906,0.004628330995792407,0.009326788218793847,0.00960729312762972
normalized_conformal_modality,normalized_modality,normalized_modality,0.8036465638148668,0.9046283309957924,0.9579242636746143,0.12304259906960797,0.18159247275004795,0.28773736741561473,0.19745747974509023,0.003646563814866721,0.004628330995792407,0.007924263674614296,0.005399719495091142
normalized_conformal_combined,normalized_combined,normalized_combined,0.8008415147265077,0.906030855539972,0.9579242636746143,0.13010359898222487,0.1863954703253225,0.2877241506325027,0.20140773998001668,0.0008415147265076195,0.006030855539971958,0.007924263674614296,0.004932211313697958
ours,normalized_modality,normalized_modality,0.8036465638148668,0.9046283309957924,0.9579242636746143,0.12304259906960797,0.18159247275004795,0.28773736741561473,0.19745747974509023,0.003646563814866721,0.004628330995792407,0.007924263674614296,0.005399719495091142
same_ticker_baseline,,,0.8821879382889201,0.8611500701262272,0.7938288920056101,0.11933403984570763,0.10758263395095131,0.08969633803630135,0.10553767061098678,0.08218793828892001,0.03884992987377278,0.15617110799438982,0.09240299205236087
