method,coverage_80,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_90,avg_width_95,cal_error_80,cal_error_90,cal_error_95,calibration_error,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,interval_scale_80,interval_scale_90,interval_scale_95,selected_interval_mode,candidate_interval_mode
text_only,0.15007012622720897,0.4908835904628331,0.9607293127629734,0.13249118954584163,0.024902066584221946,0.12571491547670804,0.24685658657659487,0.6499298737727911,0.40911640953716694,0.010729312762973398,0.3565918653576438,0.03544543747624678,0.04947765262113882,0.4684431977559607,0.4851314440233084,0.00403869099797155,0.00031237234805566393,1.0,1.0,1.0,raw_quantile,raw_quantile
financial_only,0.3492286115007013,0.908835904628331,0.9873772791023843,0.31478760332781724,0.07072800559058347,0.32734117149355785,0.5462936328993104,0.45077138849929876,0.008835904628330948,0.03737727910238431,0.16566152407667134,0.03792229515380278,0.05058675015360945,0.5007012622720898,0.4851314440233084,0.028144132716316335,0.0022010662157108157,1.0,1.0,1.0,raw_quantile,raw_quantile
sentiment_only,0.4894810659186536,0.9943899018232819,1.0,0.4195527508854866,0.09741692990064621,0.4333189129829407,0.7279224097728729,0.31051893408134645,0.09438990182328189,0.050000000000000044,0.15163627863487614,0.06166260660329894,0.07109182133522163,0.4684431977559607,0.4851314440233084,0.04694132008717933,0.006069715832256901,1.0,1.0,1.0,raw_quantile,raw_quantile
full_multimodal,0.638148667601683,0.8892005610098177,0.9565217391304348,0.17985660143809626,0.08100234525249474,0.1714705793855798,0.2870968796762143,0.16185133239831706,0.01079943899018232,0.006521739130434856,0.059724170172978076,0.034239207484161316,0.04940596265032835,0.5399719495091164,0.4851314440233084,0.008403718143242788,0.0006692723176006868,1.0,1.0,1.0,raw_quantile,raw_quantile
naive_conformal,0.8246844319775596,0.9298737727910238,0.9649368863955119,0.21506785410758966,0.130009559858303,0.20872685003262875,0.30646715243183714,0.02468443197755954,0.029873772791023767,0.014936886395511939,0.02316503038803175,0.034239207484161316,0.04940596265032835,0.5399719495091164,0.4851314440233084,0.008403718143242788,0.0006692723176006868,1.0,1.0,1.0,naive,naive
event_conditioned_conformal,0.82328190743338,0.9004207573632539,0.9565217391304348,0.199694387626398,0.1286861882497704,0.18273357441307925,0.28766340021634423,0.02328190743337999,0.00042075736325386526,0.006521739130434856,0.010074801309022904,0.034239207484161316,0.04940596265032835,0.5399719495091164,0.4851314440233084,0.008403718143242788,0.0006692723176006868,0.785,0.215,0.01,adaptive,adaptive
normalized_conformal_modality,0.8036465638148668,0.9046283309957924,0.9579242636746143,0.1974574278404273,0.12304249987225899,0.1815924782846138,0.28773730536440917,0.003646563814866721,0.004628330995792407,0.007924263674614296,0.005399719495091142,0.034239207484161316,0.04940596265032835,0.5399719495091164,0.4851314440233084,0.008403718143242788,0.0006692723176006868,0.96,0.395,0.085,normalized_modality,normalized_modality
same_ticker_baseline,0.8821879382889201,0.8611500701262272,0.7938288920056101,0.10553764577571811,0.11933360771203301,0.1075826637532737,0.08969666586184762,0.08218793828892001,0.03884992987377278,0.15617110799438982,0.09240299205236087,0.029771160453477854,0.04669325478581894,0.47685834502103785,1.0,0.0019587187694625817,0.00011323009432486972,,,,,
